,Mean,SD,Variance,Skewness,Excess_Kurtosis
FPT,-0.00017937147409900932,0.019312677017890047,0.00037297949359733836,0.11433371202350738,2.258679561768489
VCB,0.00045309167850640924,0.01752111688869222,0.0003069895370272157,-0.06809707111013745,4.114889987722407
HPG,0.0001345376891617492,0.019083448755072695,0.0003641780163874856,-0.20937539661446947,3.4559984527482777
VNM,-0.0001359849694423028,0.015099183962227796,0.0002279853563251971,0.25289975919306396,7.732191521717466
MSN,9.898594362939657e-05,0.016510704707804434,0.00027260336994831553,0.056438882820645006,4.16344403637242
