time,close_hpg,close_vni,R_hpg,R_vni
2019-10-08,7.55,988.22,0.028208720634509157,0.00520467260895399
2019-10-09,7.55,987.83,0.0,-0.00039472685920269145
2019-10-10,7.41,987.38,-0.018717123952937755,-0.00045564776179304536
2019-10-11,7.41,991.84,0.0,0.004506833549704526
2019-10-14,7.4,993.57,-0.0013504390978714624,0.001742713533065068
2019-10-15,7.36,993.05,-0.005420067469339256,-0.0005235022418738952
2019-10-16,7.34,994.46,-0.0027210901143607247,0.0014188610236396766
2019-10-17,7.38,989.82,0.005434795985956995,-0.004676767852552217
2019-10-18,7.38,989.2,0.0,-0.0006265727686268711
2019-10-21,7.31,983.56,-0.009530364850693989,-0.0057178930699256225
2019-10-22,7.45,987.19,0.018970758629781148,0.003683880862839207
2019-10-23,7.53,987.79,0.01068100942033409,0.0006076011083239475
2019-10-24,7.59,993.6,0.007936549595736342,0.0058645866307156
2019-10-25,7.52,996.57,-0.009265453445790123,0.0029846718670220105
2019-10-28,7.66,996.48,0.01844584579075165,-9.03138406574977e-05
2019-10-29,7.66,995.87,0.0,-0.0006123422280830575
2019-10-30,7.59,1000.89,-0.009180392344961364,0.0050281561894742035
2019-10-31,7.52,998.82,-0.009265453445790123,-0.0020703009329953318
2019-11-01,7.55,1015.59,0.003981425299184822,0.01665042115185377
2019-11-04,7.5,1022.43,-0.006644542718668501,0.006712422529957293
2019-11-05,7.55,1024.34,0.006644542718668511,0.001866355823490253
2019-11-06,7.59,1024.91,0.005284028146605206,0.000556301100109743
2019-11-07,7.83,1024.03,0.031130918595173213,-0.0008589807940779192
2019-11-08,7.83,1022.49,0.0,-0.0015049941272754518
2019-11-11,7.86,1016.75,0.0038240964384034758,-0.005629563130698607
2019-11-12,7.93,1018.33,0.008866429205641325,0.0015527648224726105
2019-11-13,7.81,1012.77,-0.015248071795162002,-0.005474879511681446
2019-11-14,7.81,1012.3,0.0,-0.00046418149341909197
2019-11-15,7.81,1010.03,0.0,-0.0022449362402283783
2019-11-18,7.9,1002.91,0.011457795621381358,-0.007074259236169205
2019-11-19,7.86,1008.35,-0.005076153031860661,0.005409557457542438
2019-11-20,7.72,1000.56,-0.01797224240443048,-0.007755488345199778
