"","Mean","SD","Variance","Skewness","Excess_Kurtosis"
"FPT",5.94889255090436e-05,0.0189064032321562,0.000357452083176887,0.22842754254641,2.13065396151045
"VCB",1.12241950879629e-05,0.0147647979192727,0.00021799925759696,0.480690507645622,7.55259853369927
"HPG",0.000556507894962184,0.0172851230579295,0.000298775479127766,0.0529954638336984,3.93099128383696
"VNM",1.931799567139e-05,0.0165270335768986,0.000273142838851933,0.16390395840894,3.65466490338196
"MSN",0.000253810966355816,0.0189590994473648,0.000359447451855069,-0.123995120743577,3.2648777137274
