"","FPT","VCB","HPG","VNM","MSN"
"2024-04-11",0.00961966071293752,-0.0053050689938523,0.00839638112573127,-0.00299850299625604,-0.00970208580645071
"2024-04-12",0.00520836005520131,0.0063627262299466,0.00167084934694905,0.00150037537523318,0.00139178867282297
"2024-04-15",-0.034349487469207,-0.0278689368531708,-0.0496253044904158,-0.027357329211533,-0.0720772975928181
"2024-04-16",0.0124667738447926,-0.0109290412353147,-0.00527698291364054,-0.0139645403503721,-0.012030220276543
"2024-04-17",-0.0106762887419229,-0.00550967318407025,-0.012422558647696,0.00312012733624378,0.0105343336849604
"2024-04-22",0.0118561095148362,0.00110437872450042,0.00716851200077429,-0.00312012733624378,0.00599701947237463
"2024-04-23",0.0179699554204955,-0.00553406589037309,-0.0143886894125043,-0.00784317746102658,-0.0334377656273279
"2024-04-24",0.0671507924974506,0.00553406589037309,0.0425595638215359,0.00784317746102658,0.0334377656273279
"2024-04-25",0.02548433898178,0.00440529445956983,-0.00871847847541574,0.0108781181471826,0.0177782460212832
"2024-04-26",0,0.00219535903931245,-0.00526771684898009,0.00462606838878266,-0.0133039656263616
"2024-05-03",-0.0110585693480196,0.0065076484752602,0.0105263553763209,0.00305343748689069,0.0261263045922213
"2024-05-06",0.0134124415013233,0.00539086560623225,0.0224340547420407,0.00304414238122774,0.0184533270408682
"2024-05-07",0.0285844393210493,-0.00107586328544151,0.0285974109441298,0.0328878668448347,0.00140548160873522
"2024-05-08",-0.0022874646551081,0.00107586328544151,0.0180777881016354,-0.00147167061145481,0.0153313107467881
"2024-05-09",-0.00535780160234189,-0.00539086560623225,-0.00817668594780763,-0.019331457018307,-0.0125262598191807
"2024-05-10",0.00535780160234189,-0.00542008462516819,0,-0.00150262988453598,-0.00843886864586452
"2024-05-13",-0.00997320749397623,-0.0109290412353147,-0.00824409570800633,-0.0105821093305369,0
"2024-05-14",0.00614912646704191,-0.00440529445956983,0,0.0105821093305369,-0.00282885620047679
"2024-05-15",0.027212562993526,0.00440529445956983,0.032576189040542,0.00749067172915829,0.022409901399584
"2024-05-16",0.00964754668943435,0.017429639016223,0.0127390655245687,0.00298062813813793,0.00276625349289006
"2024-05-17",-0.00666918066916722,-0.00867684594924789,0,-0.00298062813813793,0.0419263568633088
"2024-05-20",-0.0112150257689372,0.0010886843182476,0.0125787403939164,-0.00899556290857895,0.0118500399174959
"2024-05-21",0.0223057443764869,-0.00874322746735601,-0.00469853557946642,-0.00301659353942441,-0.00788440352414987
"2024-05-22",0.014598815936548,-0.00440044834632403,-0.0174192575763215,-0.00606062461169188,-0.0253854646941694
"2024-05-23",-0.00362975334887494,0.00330219842845736,0.0360823770790546,0.0180727810596952,0.0253854646941694
"2024-05-24",-0.0415798731067856,-0.00883008144037234,-0.0205486676775664,-0.0150378773645414,-0.0308128864295352
"2024-05-27",0.0068001966072142,0,0,0.00151400483121478,0
"2024-05-28",0.0311366246138007,0.00552788301191498,0.00861326384421268,0.0105343336849604,0.0268472500361892
"2024-05-29",-0.00953433592336594,-0.00997233578170054,-0.019048140853231,-0.00751318335078288,-0.00664454271866965
"2024-05-30",-0.00517175225057898,-0.013453120779884,-0.0123133152046577,-0.0090909717012515,0.0289113434944213
"2024-05-31",-0.00296739523008327,-0.0159275638852403,0.0123133152046577,-0.004576667027413,-0.00780238028418623
"2024-06-03",0.0169433380728279,0.0114026682407218,0.0138890579045778,0.010646488394487,0.0142581806270563
"2024-06-04",0.0159423620774124,0.00565294406863615,0.0102916863123799,-0.00151400483121478,-0.00257732101430008
"2024-06-05",0.00716332557196431,0.00112671160054845,-0.00170791568133311,0.0371790032417554,0.00771212048633885
"2024-06-06",-0.00357524864553938,0.00224975313326325,0.00170791568133311,-0.019160497739076,0
"2024-06-07",0.017045842880405,-0.00563383551248542,0,0.00888894741724577,-0.00642262965646623
"2024-06-10",0.0139862581438024,-0.00566575553211379,0,-0.00888894741724577,-0.0064641466198907
"2024-06-11",0.0172121308401714,-0.00913248599857042,-0.00684931518175169,-0.0104712998672962,-0.0170049879209575
"2024-06-12",0.0355384458892658,0.0170556123093579,0.0170361607589875,0.00749067172915829,0.0260431385360196
"2024-06-13",-0.015267493073388,-0.00338796994427604,-0.00338404510760881,-0.00149365225678366,0.0102302682508153
"2024-06-14",0.00766291758830917,-0.010233128942188,-0.0136521156513787,-0.0105185041912197,-0.00766287274556809
"2024-06-17",-0.016936539349599,-0.00458191050124768,0.0119557093921348,-0.00302572091653808,-0.0233473639969919
