"","Mean","SD","Skewness","Excess_Kurtosis"
"TCB",0.000741984378032504,0.0186292733139425,-0.148183414857121,2.57464711299546
"MWG",0.00123233431845362,0.0197567157571031,0.108300070960349,2.16225376064864
"REE",0.000884085700179586,0.0163096967042292,0.128881346701377,3.69921605221984
"GAS",-4.04321500642032e-05,0.0211693506180126,-0.102999291865481,4.42960092261985
"HPG",0.000556507894962184,0.0172851230579295,0.0531615069870755,3.95996091280998
